,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
249,"Av. Mariscal Castilla,  Santiago de Surco, Lima",260m²Superficie total,260m²Superficie techada,No hay informacion,No hay informacion,5Dormitorios,46Antigüedad,No hay informacion,No hay informacion,"S/ 1,225,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-5-a-mas-dormitorios-58249174,https://img10.naventcdn.com/avisos/111/00/58/24/91/74/720x532/210296116.jpg
250,"2da Etapa La Planicie - La Molina,  La Planicie, La Molina",1200m²Superficie total,757m²Superficie techada,5Estacionamientos,No hay informacion,5Dormitorios,10Antigüedad,Parques Cercanos ,No hay informacion,"S/ 4,814,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-5-a-mas-dormitorios-13254985,https://img10.naventcdn.com/avisos/111/00/13/25/49/85/720x532/196288202.jpg
251,"Av. Tomas Ramsey N°125,  Magdalena, Lima",180m²Superficie total,180m²Superficie techada,0Estacionamientos,No hay informacion,4Dormitorios,20Antigüedad,Parques Cercanos ,No hay informacion,Consultar precio,1,https://urbania.pe/inmueble/venta-de-casa-en-magdalena-lima-4-dormitorios-13448288,https://img10.naventcdn.com/avisos/111/00/13/44/82/88/720x532/200422192.jpg
252,"Calle José Sabogal,  Aurora, Miraflores",300m²Superficie total,520m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 2,390,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-aurora-miraflores-4-dormitorios-13414252,https://img10.naventcdn.com/avisos/111/00/13/41/42/52/720x532/199585290.jpg
253," Alameda Del Pinar, Comas",200m²Superficie total,120m²Superficie techada,No hay informacion,1Medio baño,4Dormitorios,9Antigüedad,No hay informacion,No hay informacion,"S/ 489,060",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-alameda-del-pinar-comas-4-dormitorios-58345393,https://img10.naventcdn.com/avisos/111/00/58/34/53/93/720x532/211751708.jpg
254,"Mz. K Lote 14,  Villa el Salvador, Lima",100m²Superficie total,100m²Superficie techada,No hay informacion,No hay informacion,6Dormitorios,30Antigüedad,No hay informacion,No hay informacion,"S/ 344,655",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-villa-el-salvador-lima-5-a-mas-dormitorios-58071494,https://img10.naventcdn.com/avisos/111/00/58/07/14/94/720x532/207509909.jpg
255,"Los Aperos 345 ,  El Remanso, La Molina",492m²Superficie total,320m²Superficie techada,3Estacionamientos,No hay informacion,5Dormitorios,30Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,826,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-remanso-la-molina-5-a-mas-dormitorios-13486508,https://img10.naventcdn.com/avisos/111/00/13/48/65/08/720x532/201193302.jpg
256,"Calle Los Petirrojos 1XX,  Corpac, San Isidro",332m²Superficie total,332m²Superficie techada,3Estacionamientos,No hay informacion,3Dormitorios,58Antigüedad,No hay informacion,No hay informacion,"S/ 2,622,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-corpac-san-isidro-3-dormitorios-13490839,https://img10.naventcdn.com/avisos/111/00/13/49/08/39/720x532/201290907.jpg
257,"CALLE ALEJANDRO DEUSTUA 137,  Miraflores, Lima",401m²Superficie total,400m²Superficie techada,3Estacionamientos,No hay informacion,5Dormitorios,40Antigüedad,No hay informacion,No hay informacion,"S/ 2,423,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-miraflores-lima-5-a-mas-dormitorios-58059513,https://img10.naventcdn.com/avisos/111/00/58/05/95/13/720x532/207323084.jpg
258,"Urbanización Covima, La Molina, Lima,  Covima, La Molina",433m²Superficie total,324m²Superficie techada,2Estacionamientos,No hay informacion,5Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 1,626,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-covima-la-molina-5-a-mas-dormitorios-13157123,https://img10.naventcdn.com/avisos/111/00/13/15/71/23/720x532/194095373.jpg
259," Pueblo Libre, Lima",250m²Superficie total,247m²Superficie techada,No hay informacion,1Medio baño,3Dormitorios,21Antigüedad,No hay informacion,No hay informacion,"S/ 1,020,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-pueblo-libre-lima-3-dormitorios-58459768,https://img10.naventcdn.com/avisos/111/00/58/45/97/68/720x532/214085912.jpg
260," La Molina, Lima",1035m²Superficie total,535m²Superficie techada,4Estacionamientos,No hay informacion,5Dormitorios,12Antigüedad,No hay informacion,No hay informacion,"S/ 4,316,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-molina-lima-5-a-mas-dormitorios-13473065,https://img10.naventcdn.com/avisos/111/00/13/47/30/65/720x532/200859332.jpg
